,t1,t2,score
27980599,WASTE MANAGEMENT  INC,WASTE MANAGEMENT INC,0.047619047619047616
25211072,JPMORGAN CHASE & CO.,JPMORGAN CHASE & CO,0.05
37011926,PITNEY BOWES INC.,PITNEY BOWES INC,0.058823529411764705
34569943,CATERPILLAR INC.,CATERPILLAR INC,0.0625
22398127,"TELECOMMUNICATION SYSTEMS, INC.",TELECOMMUNICATION SYSTEMS INC,0.06451612903225806
926833,TELECOMMUNICATION SYSTEMS  INC.,TELECOMMUNICATION SYSTEMS INC,0.06451612903225806
24755531,BUTTERBALL  LLC,BUTTERBALL LLC,0.06666666666666667
463245,PERSPECTA INC.,PERSPECTA INC,0.07142857142857142
7065285,ALCATEL LUCENT,ALCATEL-LUCENT,0.07142857142857142
19813361,ENGILITY CORP.,ENGILITY CORP,0.07142857142857142
26613450,CITIGROUP INC.,CITIGROUP INC,0.07142857142857142
8860852,CONSOLIDATED EDISON  INC.,CONSOLIDATED EDISON INC,0.08
6056892,ANALYTICAL GRAPHICS  INC.,ANALYTICAL GRAPHICS INC,0.08
13818594,"ANALYTICAL GRAPHICS, INC.",ANALYTICAL GRAPHICS INC,0.08
7549101,GENCORP INC.,GENCORP INC,0.08333333333333333
28663817,CUMMINS INC.,CUMMINS INC,0.08333333333333333
3261595,GROUP W INC.,GROUP W INC,0.08333333333333333
8368778,TEXTRON INC.,TEXTRON INC,0.08333333333333333
31755440,HUMANA INC.,HUMANA INC,0.09090909090909091
17394255,SOLERS INC.,SOLERS INC,0.09090909090909091
892836,PFIZER INC.,PFIZER INC,0.09090909090909091
9700172,ROCKWELL COLLINS  INC.,ROCKWELL COLLINS INC,0.09090909090909091
29464369,AMERICAN APPAREL  INC.,AMERICAN APPAREL INC,0.09090909090909091
8688235,WASTE MANAGEMENT  INC.,WASTE MANAGEMENT INC,0.09090909090909091
37637588,"ROCKWELL COLLINS, INC.",ROCKWELL COLLINS INC,0.09090909090909091
3493879,"AMERICAN APPAREL, INC.",AMERICAN APPAREL INC,0.09090909090909091
25854929,EXELIS INC.,EXELIS INC,0.09090909090909091
33054306,DAVITA INC.,DAVITA INC,0.09090909090909091
31762962,FORCE PROTECTION  INC.,FORCE PROTECTION INC,0.09090909090909091
18251971,"WASTE MANAGEMENT, INC.",WASTE MANAGEMENT INC,0.09090909090909091
23656837,AMGEN INC.,AMGEN INC,0.1
11036498,ALERE INC.,ALERE INC,0.1
11101371,AT&T INC.,AT&T INC,0.1111111111111111
13676707,CRAY INC.,CRAY INC,0.1111111111111111
37092998,"BEARINGPOINT, INC.",BEARINGPOINT INC,0.1111111111111111
19938824,AAR CORP.,AAR CORP,0.1111111111111111
13645538,EMBLEMHEALTH  INC.,EMBLEMHEALTH INC,0.1111111111111111
8775892,STERICYCLE  INC.,STERICYCLE INC,0.125
23887066,"STERICYCLE, INC.",STERICYCLE INC,0.125
24909628,BAUER AG,BAYER AG,0.125
9946293,HEALTH NET  INC.,HEALTH NET INC,0.125
1103116,PRAGMATICS  INC.,PRAGMATICS INC,0.125
19311904,"PRAGMATICS, INC.",PRAGMATICS INC,0.125
32271671,BATTELLE MEMORIAL INSTITUTE INC,BATTELLE MEMORIAL INSTITUTE,0.12903225806451613
7662338,ALTEGRITY  INC.,ALTEGRITY INC,0.13333333333333333
3414710,ADVANCED ACOUSTIC CONCEPTS LLC,ADVANCED ACOUSTIC CONCEPTS,0.13333333333333333
4523636,CSP ENTERPRISES,COX ENTERPRISES,0.13333333333333333
32401652,BLACKROCK  INC.,BLACKROCK INC,0.13333333333333333
30069517,"MEDTRONIC, INC.",MEDTRONIC INC,0.13333333333333333
14705582,"ALTEGRITY, INC.",ALTEGRITY INC,0.13333333333333333
2371462,CORELOGIC  INC.,CORELOGIC INC,0.13333333333333333
677518,MEDTRONIC  INC.,MEDTRONIC INC,0.13333333333333333
21845720,"TIDEWATER, INC.",TIDEWATER INC,0.13333333333333333
20031908,TIDEWATER  INC.,TIDEWATER INC,0.13333333333333333
20562024,REGENERON PHARMACEUTICALS INC,REGENERON PHARMACEUTICALS,0.13793103448275862
2286734,DYNETICS  INC.,DYNETICS INC,0.14285714285714285
33664006,"WOOLPERT, INC.",WOOLPERT INC,0.14285714285714285
36225041,"DYNETICS, INC.",DYNETICS INC,0.14285714285714285
5974889,RES-CARE  INC.,RES-CARE INC,0.14285714285714285
11226916,WOOLPERT  INC.,WOOLPERT INC,0.14285714285714285
32537704,SAAB AB,SSAB AB,0.14285714285714285
37725652,KRATOS DEFENSE & SECURITY SOLUTIONS  INC.,KRATOS DEFENSE & SECURITY SOLUTIONS,0.14634146341463414
14157874,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",KRATOS DEFENSE & SECURITY SOLUTIONS,0.14634146341463414
16816314,HONEYWELL INTERNATIONAL INC,HONEYWELL INTERNATIONAL,0.14814814814814814
28718043,FLORIDA TURBINE TECHNOLOGIES INC.,FLORIDA TURBINE TECHNOLOGIES,0.15151515151515152
27240496,HOLOGIC  INC.,HOLOGIC INC,0.15384615384615385
12810115,MAXIMUS  INC.,MAXIMUS INC,0.15384615384615385
19967564,PEPSICO  INC.,PEPSICO INC,0.15384615384615385
38732137,STANLEY  INC.,STANLEY INC,0.15384615384615385
16822965,PRICEWATERHOUSECOOPERS LLP,PRICEWATERHOUSECOOPERS,0.15384615384615385
23106418,"HOLOGIC, INC.",HOLOGIC INC,0.15384615384615385
30453201,METLIFE  INC.,METLIFE INC,0.15384615384615385
10495738,"MAXIMUS, INC.",MAXIMUS INC,0.15384615384615385
14629458,"METLIFE, INC.",METLIFE INC,0.15384615384615385
7806383,"AIR PRODUCTS AND CHEMICALS, INC.",AIR PRODUCTS & CHEMICALS INC,0.15625
18194579,AIR PRODUCTS AND CHEMICALS  INC.,AIR PRODUCTS & CHEMICALS INC,0.15625
2091422,TELEDYNE TECHNOLOGIES INC,TELEDYNE TECHNOLOGIES,0.16
8393106,AMERICAN ELECTRONICS INC,AMERICAN ELECTRONICS ASSN,0.16
2474161,VERSAR  INC.,VERSAR INC,0.16666666666666666
35239769,VENATORX PHARMACEUTICALS,VERTEX PHARMACEUTICALS,0.16666666666666666
6154786,"VERSAR, INC.",VERSAR INC,0.16666666666666666
27664499,U.S. BANCORP,US BANCORP,0.16666666666666666
17952930,ARCADIS N.V.,ARCADIS NV,0.16666666666666666
15989910,HUNTINGTON INGALLS INDUSTRIES  INC.,HUNTINGTON INGALLS INDUSTRIES,0.17142857142857143
1289889,SPECTRUM HEALTHCARE RESOURCES  INC.,SPECTRUM HEALTHCARE RESOURCES,0.17142857142857143
36354072,"HUNTINGTON INGALLS INDUSTRIES, INC.",HUNTINGTON INGALLS INDUSTRIES,0.17142857142857143
10983294,JACOBS ENGINEERING GROUP INC.,JACOBS ENGINEERING GROUP,0.1724137931034483
29785440,ECOLOGY AND ENVIRONMENT  INC.,ECOLOGY & ENVIRONMENT INC,0.1724137931034483
9291720,"ECOLOGY AND ENVIRONMENT, INC.",ECOLOGY & ENVIRONMENT INC,0.1724137931034483
21200442,THERMO FISHER SCIENTIFIC INC.,THERMO FISHER SCIENTIFIC,0.1724137931034483
26222402,MESSER CONSTRUCTION CO.,MESSER CONSTRUCTION,0.17391304347826086
31561910,SWANK ENTERPRISES,SSAB ENTERPRISES,0.17647058823529413
5114871,HONEYWELL INTERNATIONAL INC.,HONEYWELL INTERNATIONAL,0.17857142857142858
34508391,TORCH TECHNOLOGIES INC,TORCH TECHNOLOGIES,0.18181818181818182
10622879,CERBERUS CAPITAL MANAGEMENT  L.P.,CERBERUS CAPITAL MANAGEMENT,0.18181818181818182
3977873,NESTLE S.A.,NESTLE SA,0.18181818181818182
14069005,STANTEC INC,STANLEY INC,0.18181818181818182
31393944,"APPRIO, INC",APPRISS INC,0.18181818181818182
4069470,TRIWEST HEALTHCARE ALLIANCE CORP.,TRIWEST HEALTHCARE ALLIANCE,0.18181818181818182
12352007,FIDELITY NATIONAL FINANCIAL  INC.,FIDELITY NATIONAL FINANCIAL,0.18181818181818182
